,POS,PLAYER,Mat ,Inns ,NO ,Runs ,HS ,Avg ,BF ,SR ,100,50,4s ,6s ,POS,PLAYER,Pts ,Mat ,Wkts ,Dots ,4s ,6s ,Catches ,Stumpings ,POS,PLAYER,Distance (m) 
98,99,R,,,,,,,,,,,,,98,Abhishek Sharma ,46.0,8.0,2.0,11.0,6.0,3.0,1.0,0.0,99,,
99,inku Singh ,1,1.0,0.0,11.0,11.0,11,11,100.0,0.0,0.0,1.0,0.0,,99,Karn Sharma ,44.5,5.0,5.0,27.0,0.0,0.0,0.0,0.0,,Ajinkya Rahane ,89.0
100,100,Shivam Mavi ,8.0,3.0,1.0,10.0,9,5,14.0,71.42,0.0,0.0,1.0,0.0,100,Ankit Rajpoot ,44.5,6.0,2.0,34.0,0.0,1.0,0.0,0.0,100,Nicholas Pooran ,89.0
101,  ,,,,,,,,,,,,,,101,Mandeep Singh ,41.5,7.0,0.0,0.0,10.0,4.0,1.0,0.0,  ,,
102,,,,,,,,,,,,,,,102,Harshal Patel ,41.0,5.0,3.0,23.0,2.0,0.0,1.0,0.0,,,
103,,,,,,,,,,,,,,,103,Deepak Hooda ,39.5,7.0,0.0,2.0,5.0,5.0,3.0,0.0,,,
104,,,,,,,,,,,,,,,104,Jimmy Neesham ,39.0,5.0,2.0,26.0,0.0,1.0,1.0,0.0,,,
105,,,,,,,,,,,,,,,105,Josh Hazlewood ,34.5,3.0,1.0,31.0,0.0,0.0,0.0,0.0,,,
106,,,,,,,,,,,,,,,106,Saurabh Tiwary ,33.0,7.0,0.0,0.0,8.0,3.0,1.0,0.0,,,
107,,,,,,,,,,,,,,,107,Gurkeerat Mann Singh ,32.5,8.0,0.0,0.0,8.0,0.0,5.0,0.0,,,
108,,,,,,,,,,,,,,,108,Riyan Parag ,31.0,12.0,0.0,3.0,6.0,3.0,1.0,0.0,,,
109,,,,,,,,,,,,,,,109,Amit Mishra ,30.0,3.0,3.0,17.0,0.0,0.0,1.0,0.0,,,
110,,,,,,,,,,,,,,,110,Daniel Sams ,29.5,3.0,0.0,22.0,0.0,0.0,3.0,0.0,,,
111,,,,,,,,,,,,,,,111,Adam Zampa ,29.5,3.0,2.0,20.0,0.0,0.0,1.0,0.0,,,
112,,,,,,,,,,,,,,,112,Krishnappa Gowtham ,29.0,2.0,1.0,11.0,3.0,2.0,0.0,0.0,,,
113,,,,,,,,,,,,,,,113,Imran Tahir ,27.5,3.0,1.0,19.0,2.0,0.0,0.0,0.0,,,
114,,,,,,,,,,,,,,,114,Dale Steyn ,27.5,3.0,1.0,24.0,0.0,0.0,0.0,0.0,,,
115,,,,,,,,,,,,,,,115,Josh Philippe ,26.0,5.0,0.0,0.0,9.0,1.0,0.0,0.0,,,
116,,,,,,,,,,,,,,,116,Kuldeep Yadav ,25.0,5.0,1.0,19.0,1.0,0.0,0.0,0.0,,,
117,,,,,,,,,,,,,,,117,Mitchell Santner ,21.5,2.0,2.0,12.0,0.0,0.0,1.0,0.0,,,
118,,,,,,,,,,,,,,,118,Varun Aaron ,21.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,,,
